entry_time,exit_time,entry_price,exit_price,qty_btc,notional_eur,sl_price,tp_price,pnl_eur,pnl_pct_of_account,confidence,prob_up,close_reason,bars_held,exit_month,balance_after,gross_gain_eur,gross_loss_eur
2026-01-01 00:00:00,2026-01-01 12:00:00,87675.93,87838.3,0.108354,9500.0,87183.89,88660.02,17.59,0.185,0.7111,0.7111,TIME_EXIT,12,2026-01,10017.59,17.59,0.0
2026-01-01 12:00:00,2026-01-01 17:00:00,87838.3,88276.82,0.108344,9516.71,87619.04,88276.82,47.51,0.499,0.8565,0.8565,TAKE_PROFIT,5,2026-01,10065.1,47.51,0.0
2026-01-01 17:00:00,2026-01-01 23:00:00,88187.82,88676.36,0.108426,9561.85,87943.55,88676.36,52.97,0.554,0.8005,0.8005,TAKE_PROFIT,6,2026-01,10118.07,52.97,0.0
2026-01-01 23:00:00,2026-01-02 02:00:00,88722.07,88410.25,0.10834,9612.17,88410.25,89345.71,-33.78,-0.351,0.8005,0.8005,STOP_LOSS,3,2026-01,10084.29,0.0,-33.78
2026-01-02 02:00:00,2026-01-02 09:00:00,88498.05,89227.28,0.108252,9580.08,88133.44,89227.28,78.94,0.824,0.8713,0.8713,TAKE_PROFIT,7,2026-01,10163.23,78.94,0.0
2026-01-02 09:00:00,2026-01-02 14:00:00,89344.41,88917.29,0.108066,9655.07,88917.29,90198.66,-46.16,-0.478,0.7343,0.7343,STOP_LOSS,5,2026-01,10117.07,0.0,-46.16
2026-01-02 14:00:00,2026-01-02 15:00:00,89565.34,88983.4,0.10731,9611.22,88983.4,90729.2,-62.45,-0.65,0.6727,0.6727,STOP_LOSS,1,2026-01,10054.63,0.0,-62.45
2026-01-02 15:00:00,2026-01-02 16:00:00,89319.91,90616.81,0.10694,9551.9,88671.45,90616.81,138.69,1.452,0.8236,0.8236,TAKE_PROFIT,1,2026-01,10193.32,138.69,0.0
2026-01-02 18:00:00,2026-01-03 06:00:00,89776.46,89853.41,0.107864,9683.65,88907.04,91515.31,8.3,0.086,0.799,0.799,TIME_EXIT,12,2026-01,10201.62,8.3,0.0
2026-01-03 06:00:00,2026-01-03 18:00:00,89853.41,90090.17,0.107859,9691.54,89299.18,90961.88,25.54,0.263,0.7352,0.7352,TIME_EXIT,12,2026-01,10227.16,25.54,0.0
2026-01-03 18:00:00,2026-01-04 00:00:00,90090.17,90828.46,0.107845,9715.8,89721.03,90828.46,79.62,0.82,0.7953,0.7953,TAKE_PROFIT,6,2026-01,10306.78,79.62,0.0
2026-01-04 00:00:00,2026-01-04 12:00:00,91320.9,91098.34,0.10722,9791.44,90943.81,92075.08,-23.86,-0.244,0.7321,0.7321,TIME_EXIT,12,2026-01,10282.91,0.0,-23.86
2026-01-04 12:00:00,2026-01-05 00:00:00,91098.34,92000.32,0.107233,9768.77,90647.36,92000.32,96.72,0.99,0.759,0.759,TAKE_PROFIT,12,2026-01,10379.64,96.72,0.0
2026-01-05 00:00:00,2026-01-05 12:00:00,92355.84,92803.32,0.106768,9860.65,91916.92,93233.66,47.78,0.485,0.6771,0.6771,TIME_EXIT,12,2026-01,10427.41,47.78,0.0
2026-01-05 12:00:00,2026-01-05 17:00:00,92803.32,94083.57,0.106742,9906.04,92163.2,94083.57,136.66,1.38,0.9059,0.9059,TAKE_PROFIT,5,2026-01,10564.07,136.66,0.0
